ID_EMPRESA;ID_ALMOX;DATA_INICIAL;COD_PRODUTO;SALDO
1;36;01/01/1990 00:00;01381          ;0
1;36;01/01/1990 00:00;01389          ;0
1;36;02/08/2016 00:00;01408;65
1;36;01/01/1990 00:00;01468          ;0
1;36;01/01/1990 00:00;01471          ;0
1;36;01/01/1990 00:00;01482          ;0
1;36;01/01/1990 00:00;01484          ;0
1;36;01/01/1990 00:00;01486          ;0
1;36;01/01/1990 00:00;01496          ;0
1;36;01/01/1990 00:00;01501          ;0
1;36;01/01/1990 00:00;01504          ;0
1;36;01/01/1990 00:00;01512          ;0
1;36;01/01/1990 00:00;01534          ;0
1;36;01/01/1990 00:00;01536          ;0
1;36;02/08/2016 00:00;01552;1
1;36;02/08/2016 00:00;01604;1
1;36;01/01/1990 00:00;01607          ;0
1;36;01/01/1990 00:00;01617          ;0
1;36;01/01/1990 00:00;01631          ;0
1;36;01/01/1990 00:00;01639;0
1;36;02/08/2016 00:00;01659;15
1;36;01/01/1990 00:00;01663;0
1;36;01/01/1990 00:00;01667          ;0
1;36;01/01/1990 00:00;01679          ;0
1;36;01/01/1990 00:00;01685;0
1;36;02/08/2016 00:00;01687;10
1;36;02/08/2016 00:00;01690;2
1;36;01/01/1990 00:00;01691;0
1;36;02/08/2016 00:00;01695;10
1;36;02/08/2016 00:00;01697;100
1;36;01/01/1990 00:00;01704;0
1;36;01/01/1990 00:00;01711          ;0
1;36;01/01/1990 00:00;01712          ;0
1;36;01/01/1990 00:00;01713          ;0
1;36;01/01/1990 00:00;01720;0
1;36;01/01/1990 00:00;01752;0
1;36;01/01/1990 00:00;01907;0
1;36;01/01/1990 00:00;01908;0
1;36;01/01/1990 00:00;01910;0
1;36;01/01/1990 00:00;01911;0
1;36;01/01/1990 00:00;01954          ;0
1;36;01/01/1990 00:00;02031          ;0
1;36;01/01/1990 00:00;02058          ;0
1;36;01/01/1990 00:00;02059          ;0
1;36;01/01/1990 00:00;02067          ;0
1;36;01/01/1990 00:00;02115          ;0
1;36;01/01/1990 00:00;02152          ;0
1;36;01/01/1990 00:00;02227          ;0
1;36;01/01/1990 00:00;02288          ;0
1;36;01/01/1990 00:00;02311          ;0
1;36;01/01/1990 00:00;02320          ;0
1;36;01/01/1990 00:00;02348          ;0
1;36;01/01/1990 00:00;02396          ;0
1;36;01/01/1990 00:00;02436          ;0
1;36;01/01/1990 00:00;02438          ;0
1;36;01/01/1990 00:00;02440          ;0
1;36;01/01/1990 00:00;02486          ;0
1;36;01/01/1990 00:00;02511          ;0
1;36;01/01/1990 00:00;02564          ;0
1;36;01/01/1990 00:00;02566          ;0
1;36;01/01/1990 00:00;02570          ;0
1;36;01/01/1990 00:00;02573          ;0
1;36;01/01/1990 00:00;02579          ;0
1;36;01/01/1990 00:00;02582          ;0
1;36;01/01/1990 00:00;02587          ;0
1;36;01/01/1990 00:00;02589          ;0
1;36;01/01/1990 00:00;02590          ;0
1;36;01/01/1990 00:00;02591          ;0
1;36;01/01/1990 00:00;02594          ;0
1;36;01/01/1990 00:00;02597          ;0
1;36;01/01/1990 00:00;02657          ;0
1;36;01/01/1990 00:00;02659          ;0
1;36;01/01/1990 00:00;02663          ;0
1;36;01/01/1990 00:00;02753          ;0
1;36;01/01/1990 00:00;02761          ;0
1;36;01/01/1990 00:00;02763          ;0
1;36;01/01/1990 00:00;02774          ;0
