ID_EMPRESA;MATRICULA
1;024333
1;024334
1;024342
1;024346
1;024358
1;024359
1;024361
1;024362
1;024383
1;024397
1;024401
1;024409
1;024412
1;024415
1;024421
1;024425
1;024426
1;024437
1;024444
1;024464
1;024490
1;024525
1;024534
1;024556
1;024579
1;024606
1;024626
1;024677
1;024684
1;024688
1;024696
1;024701
1;024705
1;024706
1;024727
1;024744
1;024757
1;024760
1;024769
1;024783
1;024793
1;024815
1;024853
1;024855
1;024870
1;024880
1;024882
1;024891
1;024892
1;024949
1;024955
1;024956
1;024957
1;024962
1;025026
1;025043
1;025088
1;025155
1;025183
1;025189
1;025212
1;025217
1;025354
1;025374
1;025393
1;025399
1;025401
1;025402
1;025404
1;025410
1;025413
1;025414
1;025419
1;025431
1;025433
1;025434
1;025437
1;025439
1;025440
1;025443
1;025472
1;025474
1;025510
1;025526
1;025534
1;025550
1;025558
1;025574
1;025588
1;025597
1;025598
1;025602
1;025621
1;025632
1;025641
1;025653
1;025667
1;025668
1;025678
1;025708
1;025742
1;025755
1;025764
1;025765
1;025770
1;025779
1;025787
1;025794
1;025800
1;025817
1;025819
1;025826
1;025827
1;025828
1;025836
1;025841
1;025842
1;025847
1;025872
1;025875
1;025881
1;025886
1;025887
1;025888
1;025889
1;025892
1;025893
1;025914
1;025926
1;025944
1;025947
1;025950
1;025953
1;025954
1;025955
1;025969
1;025972
1;025973
1;025977
1;025978
1;025985
1;025986
1;025989
1;025990
1;025991
1;025999
1;026000
1;026003
1;026014
1;026021
1;026042
1;026045
1;026047
1;026048
1;026049
1;026050
1;026055
1;026058
1;026064
1;026067
1;026069
1;026072
1;026073
1;026080
1;026081
1;026094
1;026100
1;026111
1;026114
1;026124
1;026132
1;026133
1;026135
1;026138
1;026151
1;026160
1;026174
1;026183
1;026189
1;026193
1;026212
1;026216
1;026219
1;026220
1;026221
1;026222
1;026223
1;026224
1;026226
1;026227
1;026229
1;026234
1;026251
1;026252
1;026253
1;026254
1;026255
1;026257
1;026258
1;026259
1;026260
1;026261
1;026262
1;026263
1;026265
1;026266
1;026267
1;026268
1;026298
1;026301
1;026302
1;026327
1;026339
1;026345
1;026346
1;026354
1;026366
1;026377
1;026382
1;026386
1;026391
1;026394
1;026395
1;026396
1;026411
1;026418
1;026433
1;026439
1;026457
1;026465
1;026489
1;026498
1;026523
1;026526
1;026544
1;026557
1;026559
1;026579
1;026584
1;026593
1;026598
1;026605
1;026606
1;026608
1;026611
1;026618
1;026620
1;026622
1;026631
1;026632
1;026633
1;026642
1;026650
1;026653
1;026671
1;026687
1;026692
1;026694
1;026696
1;026706
1;026712
1;026720
1;026722
1;026725
1;026726
1;026727
1;026768
1;026779
1;026793
1;026820
1;026827
1;026833
1;026847
1;026853
1;026855
1;026858
1;026861
1;026862
1;026863
1;026876
1;026897
1;026912
1;026919
1;026922
1;026935
1;026940
1;026941
1;026945
1;026986
1;027007
1;027033
1;027036
1;027037
1;027049
1;027058
1;027082
1;027101
1;027102
1;027114
1;027117
1;027123
1;027126
1;027128
1;027136
1;027143
1;027144
1;027160
1;027169
1;027171
1;027173
1;027189
1;027205
1;027212
1;027213
1;027221
1;027226
1;027238
1;027247
1;027253
1;027258
1;027260
1;027265
1;027270
1;027271
1;027273
1;027275
1;027295
